donors,mean,donations,in_state_donors_count,oo_state_donors_count,in_state_donations_amt,oo_state_donations_amt,name,org_id,office,district,CO_ID,party,jurisdiction,race_id,declared_year
34,228.71823529411765,34,16.0,18.0,307.90125,158.33333333333334,"WILLIAMS, DAVE",36942,Colorado House,House District 15,20155028970.0,Republican,STATEWIDE,1566,2017.0
8,438.4375,8,6.0,2.0,517.5,201.25,"WILLIAMS, ANGELA",36862,Colorado Senate,Senate District 33,20155028984.0,Democratic,STATEWIDE,1931,2016.0
35,322.0477142857143,40,32.0,3.0,336.6146875,166.66666666666666,"JACKSON, DOMINIQUE",37350,Colorado House,House District 42,20155028991.0,Democratic,STATEWIDE,115,2017.0
142,269.0992957746479,158,120.0,22.0,273.18933333333337,246.79,"BRIDGES, JEFF",36898,Colorado House,House District 03,20155029008.0,Democratic,STATEWIDE,1613,2017.0
6,195.83333333333334,6,2.0,4.0,237.5,175.0,"COVARRUBIAS, PHILIP",35190,Colorado House,House District 56,20155029023.0,Republican,STATEWIDE,1188,2016.0
6,195.83333333333334,6,2.0,4.0,237.5,175.0,"COVARRUBIAS, PHILIP",37782,Colorado House,House District 56,20155029023.0,Republican,STATEWIDE,286,2017.0
16,491.794375,16,9.0,7.0,696.5233333333333,228.57142857142858,"BUCKNER, JANET",37143,Colorado House,House District 40,20155029125.0,Democratic,STATEWIDE,2554,2017.0
70,209.94285714285715,75,52.0,18.0,240.96153846153845,120.33333333333333,"MICHAELSON JENET, DAFNA",37086,Colorado House,House District 30,20155029156.0,Democratic,STATEWIDE,1210,2017.0
23,299.1304347826087,23,19.0,4.0,309.4736842105263,250.0,"MCKEAN, HUGH",37647,Colorado House,House District 51,20155029211.0,Republican,STATEWIDE,476,2017.0
23,299.1304347826087,23,19.0,4.0,309.4736842105263,250.0,"MCKEAN, HUGH",34399,Colorado House,House District 51,20155029211.0,Republican,STATEWIDE,71,2016.0
128,161.88578124999998,142,118.0,10.0,160.48305084745763,178.43800000000002,"MCLACHLAN, BARBARA",36958,Colorado House,House District 59,20155029760.0,Democratic,STATEWIDE,2812,2017.0
138,192.64492753623188,141,129.0,9.0,195.2325581395349,155.55555555555554,"LISTON, LARRY",37418,Colorado House,House District 16,20155029984.0,Republican,STATEWIDE,745,2017.0
138,192.64492753623188,141,129.0,9.0,195.2325581395349,155.55555555555554,"LISTON, LARRY",35988,Colorado House,House District 16,20155029984.0,Republican,STATEWIDE,2304,2016.0
30,311.8433333333333,30,28.0,2.0,323.4035714285714,150.0,"TATE, JOHN",37601,Colorado Senate,Senate District 27,20155030058.0,Republican,STATEWIDE,2141,2017.0
25,267.0268,25,10.0,15.0,427.5,160.04466666666667,"WIST, COLE",36934,Colorado House,House District 37,20165030112.0,Republican,STATEWIDE,534,2017.0
25,267.0268,25,10.0,15.0,427.5,160.04466666666667,"WIST, COLE",34279,Colorado House,House District 37,20165030112.0,Republican,STATEWIDE,1214,2016.0
14,246.42857142857142,14,5.0,9.0,490.0,111.11111111111111,"SMALLWOOD, JAMES",34429,Colorado Senate,Senate District 04,20165030199.0,Republican,STATEWIDE,327,2016.0
